,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,B_mature|HSP,B_mature|ISG,B_mature|CCL4,B_mature|GBP,B_mature|EGR,Cancer_Tissue,Cancer_Type
2023_Hirz_NatComm_Prostate|GSM5494371_SCG-PCA17-T-LG,0.3226452905811623,0.0,0.6773547094188377,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,PRC
2023_Terekhova_Immunity_PBMC|G26,0.35964912280701755,0.5964912280701754,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Stephenson_NatMed_COVID19|MH8919226,0.7398373983739838,0.17886178861788618,0.08130081300813008,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2022_Guilliams_Cell_Liver|CS101,0.30857142857142855,0.045714285714285714,0.6057142857142858,0.0,0.04,0.0,0.0,0.0,0.0,Control,
2021_Ren_Cell_COVID|S-S078,0.73568281938326,0.1013215859030837,0.16299559471365638,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Ren_Cell_COVID|S-M058-1,0.7767316745124412,0.09549428379287156,0.12777404169468728,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Ren_Cell_COVID|S-S076-1,0.3362730061349693,0.5448619631901841,0.08243865030674846,0.033358895705521474,0.0,0.0,0.0,0.0,0.003067484662576687,Non-malignant disease,
2022_Perez_Science_SLE|dmx_YE_7-13,0.782433521353747,0.1313456889605157,0.05701047542304593,0.021756647864625302,0.0,0.007453666398066076,0.0,0.0,0.0,Control,
2021_Pelka_Cell_CRC|C162_T_0_0_0_c1_v3,0.32679738562091504,0.13725490196078433,0.5359477124183006,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,CRC
2023_Terekhova_Immunity_PBMC|S17,0.7718446601941747,0.22815533980582525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Stephenson_NatMed_COVID19|BGCV06_CV0178,0.8826291079812206,0.028169014084507043,0.06572769953051644,0.0,0.0,0.023474178403755867,0.0,0.0,0.0,Non-malignant disease,
2021_Stephenson_NatMed_COVID19|BGCV11_CV0257,0.9685534591194969,0.0,0.031446540880503145,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Ren_Cell_COVID|S-M062-1,0.4434782608695652,0.23043478260869565,0.1956521739130435,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Wang_SciAdv_CRC|s1231_Colon_Tumor,0.12745098039215685,0.24509803921568626,0.49019607843137253,0.0,0.049019607843137254,0.0,0.0,0.0,0.08823529411764706,Cancer_Tumor,CRC
2021_Stephenson_NatMed_COVID19|MH9179825,0.82398753894081,0.11214953271028037,0.06386292834890965,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Kumar_Nature_Breast|hbca_c121,0.05405405405405406,0.08108108108108109,0.7837837837837838,0.0,0.05405405405405406,0.0,0.0,0.0,0.02702702702702703,Control,
2023_Terekhova_Immunity_PBMC|M16,0.7283950617283951,0.18518518518518517,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Ren_Cell_COVID|S-M010-3,0.6700706991358995,0.2800471327572663,0.018853102906520033,0.02199528672427337,0.0,0.009033778476040848,0.0,0.0,0.0,Non-malignant disease,
2021_Elmentaite_Nature_Intestine|Human_colon_16S8002624,0.19607843137254902,0.5098039215686274,0.23529411764705882,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,Control,
2021_Szabo_Immunity_COVID19|COV028_blood_3days,0.304029304029304,0.5677655677655677,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
