,Mural|FGF7,Mural|RERGL,Mural|CD36,Mural|TNFAIP6,Mural|SPINT2,Mural|LAMC3,Mural|ISG,Mural|ROBO2,Cancer_Tissue,Cancer_Type
GSE153947_Cr2,0.03485254691689008,0.8900804289544236,0.045576407506702415,0.0,0.029490616621983913,0.0,0.0,0.0,Non-malignant disease,
GSE132771_F1W,0.32989690721649484,0.4896907216494845,0.061855670103092786,0.0,0.005154639175257732,0.08762886597938144,0.0,0.02577319587628866,Non-malignant disease,
GSE176417_Sc_skin3,0.2546816479400749,0.7453183520599251,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE183219_HSA_JGR_532ST_G,0.05555555555555555,0.5740740740740741,0.07407407407407407,0.0,0.05555555555555555,0.24074074074074073,0.0,0.0,Cancer_Tumor,NSCLC
GSE181957_SC184,0.20776255707762556,0.5068493150684932,0.04337899543378995,0.0,0.2420091324200913,0.0,0.0,0.0,Non-malignant disease,
GSE183219_HSA_JGR_536ST_G,0.015384615384615385,0.36923076923076925,0.046153846153846156,0.0,0.23076923076923078,0.3384615384615385,0.0,0.0,Cancer_Tumor,NSCLC
GSE155683_G170019300257T_Adult_Cornea,0.3706896551724138,0.4396551724137931,0.0,0.0,0.1896551724137931,0.0,0.0,0.0,Control,
GSE178481_RCC-PR5-T2,0.0,0.13878326996197718,0.8403041825095057,0.005703422053231939,0.015209125475285171,0.0,0.0,0.0,Cancer_Tumor,RCC
GSE172225_192566SKL_GEX_HHT,0.56575682382134,0.40198511166253104,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,Non-malignant disease,
GSE164241_BM157,0.04798464491362764,0.9213051823416507,0.030710172744721688,0.0,0.0,0.0,0.0,0.0,Control,
GSE162122_061919Myometrium_GEXL,0.0196078431372549,0.29411764705882354,0.0196078431372549,0.0,0.6666666666666666,0.0,0.0,0.0,Control,
GSE143704_Sample_84099_HMYWJBGX7_hu_092618,0.0,0.18423855165069222,0.8157614483493077,0.0,0.0,0.0,0.0,0.0,Control,
GSE175817_D408A,0.3580858085808581,0.5907590759075908,0.013201320132013201,0.01485148514851485,0.0231023102310231,0.0,0.0,0.0,Non-malignant disease,
GSE161267_Pulp5,0.01556420233463035,0.27626459143968873,0.708171206225681,0.0,0.0,0.0,0.0,0.0,Control,
GSE199515_APD_M,0.5160349854227405,0.40233236151603496,0.05830903790087463,0.0,0.0,0.0,0.023323615160349854,0.0,Cancer_Tumor,BRCA
GSE132802_Skin_Dress1,0.5051020408163265,0.43112244897959184,0.02040816326530612,0.04336734693877551,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE169657_h61AP-GEX,0.15,0.35625,0.025,0.1125,0.0,0.0,0.35625,0.0,Cancer_Tumor,BRCA
GSE175817_D406A,0.38509316770186336,0.4720496894409938,0.11180124223602485,0.0,0.031055900621118012,0.0,0.0,0.0,Non-malignant disease,
GSE173252_dd1B,0.4430379746835443,0.5411392405063291,0.012658227848101266,0.0,0.0031645569620253164,0.0,0.0,0.0,Non-malignant disease,
GSE183219_HSA_JGR_HS190415T_G,0.2878228782287823,0.09225092250922509,0.0,0.0,0.15129151291512916,0.2730627306273063,0.0,0.19557195571955718,Cancer_Tumor,NSCLC
GSE164241_GM136,0.028846153846153848,0.7596153846153846,0.08653846153846154,0.09615384615384616,0.0,0.0,0.028846153846153848,0.0,Control,
GSE178481_RCC-PR2-N,0.0,0.9789473684210527,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,RCC
GSE136103_healthy2_cd45-_1,0.02254428341384863,0.9774557165861514,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE172225_192564SKL_GEX_HHT,0.4087301587301587,0.4365079365079365,0.1388888888888889,0.0,0.0,0.0,0.015873015873015872,0.0,Non-malignant disease,
