,Fibroblast|IL6,Fibroblast|HSP,Fibroblast|Universal,Fibroblast|KLK1,Fibroblast|LRRC15,Fibroblast|IL24,Fibroblast|CST2,Fibroblast|Alveolar,Fibroblast|CLDN1,Fibroblast|GREM2,Fibroblast|Corneal,Fibroblast|COX15,Fibroblast|CD36,Fibroblast|CCL19,Fibroblast|ISG,Fibroblast|Chondrocyte,Fibroblast|Dermal-sheath,Fibroblast|SYT1,Fibroblast|COCH,Fibroblast|ITGB8,Fibroblast|CLEC14A,Fibroblast|Satellite,Fibroblast|NRG1,Fibroblast|ADAMDEC1,Cancer_Tissue,Cancer_Type
2023_Wang_SciAdv_CRC|s0813_Colon_Tumor,0.0,0.0,0.0,0.0,0.8806584362139918,0.0,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11522633744855967,0.0,Cancer_Tumor,CRC
2023_Kumar_Nature_Breast|hbca_c04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,BRCA
2022_Emont_Nature_WAT|Hs_SAT_12-1,0.0,0.0,0.16196013289036545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8380398671096345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2022_Reichart_Science_Heart|BO_H31_LV0_premrna,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8486842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,Non-malignant disease,
2022_Reichart_Science_Heart|BO_H34_LVW_premrna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782771535580524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6217228464419475,0.0,0.0,0.0,Non-malignant disease,
2022_Gur_Cell_Sceleroderma|GSM5837368_AB7492,0.0,0.0,0.8859649122807017,0.0,0.043859649122807015,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.043859649122807015,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Elmentaite_Nature_Intestine|Human_colon_16S8001885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2022_Kumar_CancerDis_Gastric|GSM5573488_sample23,0.0,0.019011406844106463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9315589353612167,0.049429657794676805,Cancer_AdjNorm,GC
2022_Gur_Cell_Sceleroderma|GSM5837478_AB8017,0.0,0.0,0.17094017094017094,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.02564102564102564,0.0,0.0,0.08547008547008547,0.0,0.008547008547008548,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Kumar_Nature_Breast|hbca_n21,0.0,0.0,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9342105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2022_Gur_Cell_Sceleroderma|GSM5837130_AB13791,0.0,0.0,0.578125,0.0,0.0,0.0,0.0,0.0,0.0,0.3359375,0.0234375,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Lake_Nature_Kidney|KB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
