,Ductal,Fibroblast,Endothelial,Mural,Plasma,T&NK,B_GC,Dendritic_plasmacytoid,Macrophage,Monocyte,B_mature,Dendritic_classical,Platelet,Hematopoietic,Squamous,Mast&Basophil,Hepatocyte,Neuron_excitatory,Astrocyte,Oligodendrocyte_mature,Neuron_inhibitory,Oligodendrocyte_progenitor,Erythroid,Neutrophil,Melanocyte,Schwann,B_progenitor,Ciliated,Muller,Rod,Neuron_bipolar,Spermatocyte,Organ
SEAAD|NW_TX0127-5,0.0,0.0022828568322643765,0.0026089792368735733,0.00195673442765518,0.0,0.0015219045548429176,0.0,0.0,0.030981628437873682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4687466028916187,0.034677682356777914,0.057723665615827806,0.37982389390151106,0.019676051744754865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
BICCN|10X191-1_S9,0.6092184368737475,0.0,0.0,0.0,0.004676018704074816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3861055444221777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
2023_Terekhova_Immunity_PBMC|C10,0.0,0.0,0.0,0.0,0.0,0.7215373459028281,0.0,0.002175489485134155,0.0,0.25018129079042783,0.02610587382160986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
2022_Gur_Cell_Sceleroderma|GSM5837388_AB7695,0.0,0.0,0.0,0.0,0.04825737265415549,0.5495978552278821,0.0,0.0,0.18230563002680966,0.0,0.0,0.19571045576407506,0.0,0.0,0.0,0.024128686327077747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Skin
2022_Reichart_Science_Heart|BO_H55_LV0_premrna,0.0,0.23826947912182522,0.10266896254842875,0.5010761945759793,0.0,0.008179078777442962,0.0,0.0,0.13366336633663367,0.0027981058975462764,0.0,0.0,0.0,0.0,0.0,0.0023676280671545416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010977184674989237,0.0,0.0,0.0,0.0,0.0,0.0,Heart
ROSMAP|201002-B56-B_NYGC_S3,0.0,0.0018632254502794839,0.014215720102132358,0.0,0.0,0.0,0.0,0.0,0.021185563453177833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4887171347733076,0.13318611551997792,0.16624111517493617,0.13525636602028845,0.039334759505900214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
BICCN|10X206-7_S17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8825402441181673,0.0,0.0,0.11745975588183266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
2022_Madissoon_NatGenet_Lung|HCA_A_LNG9387718,0.3517552182163188,0.20967741935483872,0.04364326375711575,0.03889943074003795,0.026091081593927895,0.16911764705882354,0.00023719165085388995,0.0,0.058349146110056926,0.009013282732447819,0.008776091081593928,0.006166982922201139,0.0,0.0,0.006878557874762809,0.015654648956356737,0.0,0.0,0.0,0.0009487666034155598,0.00023719165085388995,0.0,0.0,0.0,0.0,0.003557874762808349,0.0,0.05099620493358634,0.0,0.0,0.0,0.0,Lung
2022_Gur_Cell_Sceleroderma|GSM5837417_AB7756,0.0,0.0,0.0,0.0,0.005263157894736842,0.6578947368421053,0.0,0.018421052631578946,0.0,0.29473684210526313,0.02368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
2023_Hickey_Nature_Intestine|B001-A-201,0.9018460153084197,0.034218820351193155,0.025438991445294913,0.03264295362449347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00585321927059883,0.0,0.0,0.0,0.0,0.0,0.0,Intestine
2023_Kumar_Nature_Breast|hbca_c53,0.36791666666666667,0.08541666666666667,0.03364583333333333,0.007395833333333333,0.06375,0.30114583333333333,0.0,0.0040625,0.060625,0.00625,0.0015625,0.009270833333333334,0.0,0.0,0.043229166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015729166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breast
Herring2022|RL2106,0.0,0.0,0.0026550808592807145,0.001568911416847695,0.0,0.0,0.0,0.0,0.040308954863625394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3411778904175718,0.1332367849384504,0.1579773111272025,0.21614771904417088,0.10692734733285059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
2021_Garcia-Alonso_NatGenet_Endometrial|4861STDY7771115,0.015465040296231757,0.12175996514920497,0.15639294271400567,0.693095186233936,0.0,0.01328686560662165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uterus
2022_Gur_Cell_Sceleroderma|GSM5837214_AB6843,0.0,0.579088471849866,0.040214477211796246,0.032171581769437,0.08042895442359249,0.064343163538874,0.0,0.013404825737265416,0.10991957104557641,0.00804289544235925,0.0,0.03485254691689008,0.0,0.0,0.0,0.03753351206434316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Skin
2021_Ren_Cell_COVID|S-S040,0.0,0.0,0.0,0.0,0.023322500477920092,0.3058688587268209,0.0,0.0,0.0,0.45612693557637163,0.19632957369527815,0.0,0.018352131523609254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
BICCN|10X145-8_S21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8745430055801424,0.01751010198191264,0.02347508177794882,0.08447181065999615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
BICCN|10X193-5_S29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6640463384360777,0.3359536615639222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
2021_Stephenson_NatMed_COVID19|MH9143373,0.0,0.0,0.0,0.0,0.0,0.8671541742839732,0.0,0.0,0.0,0.0,0.10298598415600244,0.0,0.018890920170627667,0.010968921389396709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
BICCN|10X194-6_S38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485984998026056,0.6514015001973944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
BICCN|10X379-4_S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6751674027639265,0.024647385667474,0.02421997435532127,0.26570736572161274,0.01025787149166548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
2020_Litvinukova_Nature_Heart|HCAHeart9845436,0.0,0.2625194940218333,0.23981978859816322,0.4113671807312424,0.0,0.012822734361462486,0.0,0.0,0.049731415699185585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02373938658811298,0.0,0.0,0.0,0.0,0.0,0.0,Heart
