,PANGEA_annotation,SEN,PPV,CFS,score
cDC1@Hao_2021_Blood,Dendritic_classical|DC1,0.9764705882352941,0.8924731182795699,0.9992296933857542,0.9549336864661098
Plasma_cell@Reed_2024_Breast,Plasma,0.9823434991974318,0.892128279883382,0.9927800485403712,0.9546582006485583
B_Plasma@Adams_2020_Lung|IPF,Plasma,0.8890845070422535,0.9805825242718447,0.9966437733238964,0.9542358230668175
Lymphatic-Endothelial@Adams_2020_Lung|IPF,Endothelial|Lymphatic_LYVE1,0.9957183634633682,0.8898809523809523,0.980023939929059,0.9540439256901889
Lymphatic@Adams_2020_Lung|IPF,Endothelial|Lymphatic_LYVE1,0.9957183634633682,0.8898809523809523,0.980023939929059,0.9540439256901889
NK_dim@Perez_2022_Blood|SLE,T&NK|NK_CD16,0.9362090806053737,0.930945782892905,0.9956897081341124,0.9538360930851439
megakaryocyte-erythroid progenitor cell@COMBAT_2022_Blood|COVID-19,Platelet,0.9782469609724888,0.8858632676709154,0.9996496007630647,0.9532811367946536
Schwann cell@Monavarfeshani_2023_Eye,Schwann,0.9957627118644068,0.9475806451612904,0.9171415968223154,0.9529486021397995
NK_16hi@Stephenson_2021_Blood|COVID-19,T&NK|NK_CD16,0.970916263600214,0.90060534101526,0.9896190430267984,0.9529309794844847
pDC@Liu_2021_Blood|COVID-19,Dendritic_plasmacytoid,0.980884109916368,0.8827956989247312,0.9990965110829464,0.9528585824164604
M11_cDC_LAMP3@Wang_2023_Cancer|CRC,Dendritic_classical|LAMP3,0.9006622516556292,0.9927007299270073,0.9671171370291692,0.9526933353275137
NK@Hao_2021_Blood,T&NK|NK_CD16,0.9611375984033707,0.9293487000804074,0.9636754420763975,0.9512580639723073
NK_16hi@Stephenson_2021_Blood|COVID-19,T&NK|NK_CD16,0.9802042047216957,0.8857248520710059,0.9900855059143402,0.9508150152595287
Mast@Park_2020_Thymus,Mast&Basophil,0.918918918918919,0.9379310344827586,0.9949056202665684,0.9500431430522607
cS06 (Endo lymphatic)@Pelka_2021_Cancer|CRC,Endothelial|Lymphatic_LYVE1,0.8725490196078431,1.0,0.981556370721528,0.9496604692339027
cM03 (DC1)@Pelka_2021_Cancer|CRC,Dendritic_classical|DC1,0.912621359223301,0.9494949494949495,0.9869013434283312,0.9491882264787991
Ciliated@Adams_2020_Lung|IPF,Ciliated,0.9930672268907563,0.8606281292671826,0.999994629473342,0.9489950591006032
NK cells@Terekhova_2023_Blood,T&NK|NK_CD16,0.9060101523830846,0.9492623924694172,0.9925504158963212,0.9486164215314775
Endothelia_Lymphatic@Madissoon_2022_Lung,Endothelial|Lymphatic_LYVE1,0.8795366795366796,0.9959195569804722,0.9742409698610136,0.9485237329602683
pancreatic acinar cell@TabulaSapiens_2022_Multiple,Ductal|Pancreatobiliary_acinar,0.9788579689194074,0.8911005099522948,0.97708820276318,0.948112882416819
Neural cell@Kanemaru_2023_Heart,Schwann,0.953035336756267,0.9731688511950656,0.9182131807388338,0.9478659200012062
Plasma cell@Chan_2021_Lung|SCLC,Plasma,0.9084084084084084,0.9350850077279753,0.9988872968591948,0.9467084275317914
Plasma cell@Chan_2021_Lung|SCLC,Plasma,0.9084084084084084,0.9350850077279753,0.9988872968591948,0.9467084275317914
Mast cells@Habermann_2020_Lung|COVID-19,Mast&Basophil,1.0,0.9585964912280702,0.8848298525496021,0.9465971673018133
Mast cells@Habermann_2020_Lung|COVID-19,Mast&Basophil,1.0,0.9585964912280702,0.8848298525496021,0.9465971673018133
Mast cells@Habermann_2020_Lung|COVID-19,Mast&Basophil,0.992816091954023,0.9698245614035088,0.8808050949715165,0.9465580824760688
cB3 (B CD40+ GC-like)@Pelka_2021_Cancer|CRC,B_GC,0.8818519665531124,0.9637840582162802,0.9976308178342574,0.9464879609052799
NK@Hao_2021_Blood,T&NK|NK_CD16,0.920059942124845,0.9544358080943447,0.9638552568595125,0.9459283082583335
endothelial cell of lymphatic vessel@Kumar_2023_Breast_snRNA,Endothelial|Lymphatic_LYVE1,0.995136186770428,0.9353142857142858,0.909049220385978,0.9458214560638439
pDC-LILRA4@Fan_2023_Cancer|CC,Dendritic_plasmacytoid,0.8808290155440415,0.9686609686609686,0.987561409822607,0.9445156855781216
Luminal hormone sensing@Reed_2024_Breast,Ductal|Gland_MUCL1,0.9586009017625359,0.947151921351259,0.9274663186866108,0.9443185948654222
Mast cells@Melms_2021_Lung,Mast&Basophil,0.9986091794158554,0.9598930481283422,0.8697494151107513,0.9411760095436998
Mast cells@Melms_2021_Lung,Mast&Basophil,0.9904371584699454,0.9692513368983957,0.8664946203866528,0.9404659326381263
Plasma_B IGHG1@Fan_2023_Cancer|CC,Plasma,0.9925595238095238,0.8387826961770624,0.99787279432285,0.9400704511678081
PDC@Hirz_2023_Cancer|PRC,Dendritic_plasmacytoid,0.8595744680851064,0.9665071770334929,0.9990077190983024,0.9397647368893378
CD4+ T cells@Terekhova_2023_Blood,T&NK|T_CD4_N&CM,0.8921769024537481,0.9514368822660658,0.977419681576024,0.939659869007547
Mast cell@Kanemaru_2023_Heart,Mast&Basophil,0.9390178089584458,0.9461663947797716,0.9304334543658588,0.9385171687447841
Neuronal cells@Habermann_2020_Lung|COVID-19,Endothelial|Lymphatic_LYVE1,0.9105145413870246,0.9459616502033701,0.9568210928673522,0.937555643458994
Neuronal cells@Habermann_2020_Lung|COVID-19,Endothelial|Lymphatic_LYVE1,0.9105145413870246,0.9459616502033701,0.9568210928673522,0.937555643458994
Neuronal cells@Habermann_2020_Lung|COVID-19,Endothelial|Lymphatic_LYVE1,0.9105145413870246,0.9459616502033701,0.9568210928673522,0.937555643458994
DC1@Dominguez-Conde_2022_Multiple,Dendritic_classical|DC1,0.9662921348314607,0.86,0.9909704640441326,0.9373228451494028
Neuronal cells@Melms_2021_Lung,Endothelial|Lymphatic_LYVE1,0.9647992067426872,0.9214015151515151,0.9261642131103937,0.9372554013011206
Neuronal cells@Melms_2021_Lung,Endothelial|Lymphatic_LYVE1,0.9647992067426872,0.9214015151515151,0.9261642131103937,0.9372554013011206
IgA plasma cell@Kumar_2023_Breast_scRNA,Plasma,0.9996178100515957,0.8233905241618134,0.99997352568655,0.9371507362784373
pDC@Liu_2021_Blood|COVID-19,Dendritic_plasmacytoid,0.9763681592039801,0.8431793770139635,0.999113591067594,0.9369494275128111
NK@Schulte-Schrepping_2020_Blood|COVID-19,T&NK|NK_CD16,0.9360428080010192,0.8932522796352583,0.981164506883455,0.9361322875411073
natural killer cell@Schulte-Schrepping_2020_Blood|COVID-19,T&NK|NK_CD16,0.9360428080010192,0.8932522796352583,0.981164506883455,0.9361322875411073
Adult Glia@Elmentaite_2021_Intestine,Schwann,0.8290909090909091,1.0,0.9880987186247644,0.9356946861122144
gdT@Stephenson_2021_Blood|COVID-19,T&NK|T_gdT_TRDV2,0.8843332706413392,0.9394605394605394,0.98494084123674,0.935337222656352
platelet@TabulaSapiens_2022_Multiple,Platelet,0.8805970149253731,0.959349593495935,0.9639023231574744,0.9338182929828888
natural killer cell@COMBAT_2022_Blood|COVID-19,T&NK|NK_CD16,0.9447502809428299,0.8657255331352,0.995209950877891,0.933692754495572
mature DC@Quah_2023_Cancer|HNSCC,Dendritic_classical|LAMP3,0.9906542056074766,0.933920704845815,0.8785088931401717,0.9332387239484676
Multiciliated (non-nasal)@Sikkema_2023_Lung,Ciliated,0.9961107168204401,0.8144846796657381,0.9996025763441428,0.9325510877967736
cM09 (mregDC)@Pelka_2021_Cancer|CRC,Dendritic_classical|LAMP3,0.9285714285714286,0.9332493702770781,0.9343282363263804,0.9320463256056515
B_pro/pre@Park_2020_Thymus,B_progenitor,0.9275862068965517,0.8966666666666666,0.972135821485442,0.931617028014246
Megakaryocytes@Dominguez-Conde_2022_Multiple,Platelet,0.8643533123028391,0.9681978798586572,0.9661155201010648,0.931597173616205
aDC@Park_2020_Thymus,Dendritic_classical|LAMP3,0.8283898305084746,0.9949109414758269,0.9807742910710836,0.9315282133857891
PB_Plasmablasts@Liu_2021_Blood|COVID-19,Plasma,0.8361711919005983,0.9654622741764081,0.9991960256045606,0.9308800774679322
Plasmablast@Liu_2021_Blood|COVID-19,Plasma,0.8361711919005983,0.9654622741764081,0.9991960256045606,0.9308800774679322
MAIT cells@Terekhova_2023_Blood,T&NK|T_MAIT,0.8907403588368736,0.9162105977684443,0.9831800050506888,0.929236997766613
Plasmablast@Schulte-Schrepping_2020_Blood|COVID-19,Plasma,0.8116805721096544,0.988388969521045,0.9996954088222838,0.9290952638466966
plasmablast@Schulte-Schrepping_2020_Blood|COVID-19,Plasma,0.8116805721096544,0.988388969521045,0.9996954088222838,0.9290952638466966
hematopoietic stem cell@COMBAT_2022_Blood|COVID-19,Hematopoietic,0.9967880085653105,0.806060606060606,0.9974281846498702,0.9288609656514508
M09_cDC_CPNE3@Wang_2023_Cancer|CRC,Dendritic_classical|DC1,0.9819277108433735,0.8190954773869347,0.9960574236203358,0.9287513833929774
SMG mucous@Sikkema_2023_Lung,Ductal|Submucosal_mucous,0.9664804469273743,0.9700934579439252,0.8515918995338597,0.9277110365515087
B_Plasma@Adams_2020_Lung|IPF,Plasma,0.8941747572815534,0.8941747572815534,0.9983839119334796,0.9276428361718473
neutrophil@Szabo_2021_Airway|COVID-19,Neutrophil,0.8950537634408602,0.9454793275783735,0.9430195650155696,0.9275570299587658
neutrophil@Szabo_2021_Blood|COVID-19,Neutrophil,0.8950537634408602,0.9454793275783735,0.9430195650155696,0.9275570299587658
Plasma cell@Bi_2021_Cancer|RCC,Plasma,0.9956803455723542,0.8031358885017421,0.997445133382314,0.927397657020502
CD8 Naive@Hao_2021_Blood,T&NK|T_CD8_N&CM,0.91830624465355,0.9095915946449754,0.9533166046090712,0.9268804269336418
IgA plasma cell@Elmentaite_2021_Intestine,Plasma,0.9336277080171105,0.8530005042864347,0.9996125360324288,0.9267976089063381
CD8 Naive@Hao_2021_Blood,T&NK|T_CD8_N&CM,0.9061537180447997,0.9220471106592103,0.9515697509585236,0.9263999835367123
Lymphatic EC mature@Sikkema_2023_Lung,Endothelial|Lymphatic_LYVE1,0.992001999500125,0.8403557061189921,0.9521788827736324,0.9259014171305929
MAIT@Hao_2021_Blood,T&NK|T_MAIT,0.9455362156092083,0.8978938949613436,0.9341176114523309,0.9256246582340599
enterocyte@Elmentaite_2020_Intestine|pIBD,Ductal|Enterocyte,0.9982976653696498,0.7917068466730954,0.9993947188565784,0.9243870132942759
B cell@Bi_2021_Cancer|RCC,B_mature,0.9594594594594594,0.8626168224299066,0.9542315944590418,0.9243422012694278
mast cell@Kumar_2023_Breast_snRNA,Mast&Basophil,0.8472958642629904,0.9839901477832512,0.9464168999705914,0.9240655389933119
Lymphatic@Hwang_2022_Cancer|PDAC,Endothelial|Lymphatic_LYVE1,0.894224924012158,0.9484203739522888,0.9291759527689616,0.923666520502061
Lymphatic@Hwang_2022_Cancer|PDAC,Endothelial|Lymphatic_LYVE1,0.894224924012158,0.9484203739522888,0.9291759527689616,0.923666520502061
MAIT@Hao_2021_Blood,T&NK|T_MAIT,0.937952142459655,0.8986936816848841,0.9341568288929922,0.923430157487408
Lymphatic Endothelial cell@Kanemaru_2023_Heart,Endothelial|Lymphatic_LYVE1,0.8625482625482626,0.9450084602368867,0.9650737379650128,0.923123626072466
neutrophil@TabulaSapiens_2022_Multiple,Neutrophil,0.9809939556749496,0.8020535910388754,0.9994590598233818,0.9230209875569682
T cell@Kumar_2023_Breast_snRNA,T&NK|T_CD4_N&CM,0.8617922425323228,0.9911126303196035,0.9190042131495384,0.9224603283823909
Mega@Ren_2021_Blood|COVID-19,Platelet,0.8217677696078431,0.9601754071952747,0.9906806098271916,0.9211798897382699
Mega@Ren_2021_Blood|COVID-19,Platelet,0.8217677696078431,0.9601754071952747,0.9906806098271916,0.9211798897382699
